"Date","deep_mean","shal_mean","deep_n","shal_n","deep_dose","shal_dose","Rdt"
"2009-07-28",1.03017638888889,4.87772777777778,288,288,0.08900724,0.42143568,2009-07-28
"2009-07-29",1.15562222222222,9.27124027777778,288,288,0.09984576,0.80103516,2009-07-29
"2009-07-30",0.182466666666667,6.86301041666667,288,288,0.01576512,0.5929641,2009-07-30
"2009-07-31",0.413401041666667,6.79087222222222,288,288,0.03571785,0.58673136,2009-07-31
"2009-08-01",1.15942361111111,5.29672222222222,288,288,0.1001742,0.4576368,2009-08-01
"2009-08-02",2.20005381944444,3.58121666666667,288,288,0.19008465,0.30941712,2009-08-02
"2009-08-03",4.14066284722222,7.58241597222222,288,288,0.35775327,0.65512074,2009-08-03
"2009-08-04",2.10596944444444,3.14739930555556,288,288,0.18195576,0.2719353,2009-08-04
"2009-08-05",4.63579375,3.86976944444444,288,288,0.40053258,0.33434808,2009-08-05
"2009-08-06",8.26612013888889,4.97654722222222,288,288,0.71419278,0.42997368,2009-08-06
"2009-08-07",8.91995902777778,3.4152,288,288,0.77068446,0.29507328,2009-08-07
"2009-08-08",8.81447048611111,21.6118125,288,288,0.76157025,1.8672606,2009-08-08
"2009-08-09",4.80780659722222,23.4024208333333,288,288,0.41539449,2.02196916,2009-08-09
"2009-08-10",0.400096180555556,9.99262222222222,288,288,0.03456831,0.86336256,2009-08-10
"2009-08-11",1.27631631944444,6.74640347222222,288,288,0.11027373,0.58288926,2009-08-11
"2009-08-12",1.12806215277778,7.75633819444444,288,288,0.09746457,0.67014762,2009-08-12
"2009-08-13",13.7458222222222,30.1468479166667,288,288,1.18763904,2.60468766,2009-08-13
"2009-08-14",5.35330590277778,14.3723,288,288,0.46252563,1.24176672,2009-08-14
"2009-08-15",1.86173020833333,7.19998472222222,288,288,0.16085349,0.62207868,2009-08-15
"2009-08-16",1.05678611111111,7.19109097222222,288,288,0.09130632,0.62131026,2009-08-16
"2009-08-17",1.98180105263158,10.5481978647687,285,281,0.16944399,0.88921308,2009-08-17
"2009-08-18",0.92,14.6849090277778,288,288,0.079488,1.26877614,2009-08-18
"2009-08-19",3.7076,20.89248125,288,288,0.32033664,1.80511038,2009-08-19
"2009-08-20",6.63396666666667,33.8061027777778,288,288,0.57317472,2.92084728,2009-08-20
"2009-08-21",1.1132,20.7973027777778,288,288,0.09618048,1.79688696,2009-08-21
"2009-08-22",0.229233333333333,14.9809302083333,288,288,0.01980576,1.29435237,2009-08-22
"2009-08-23",0.6854,17.662059375,288,288,0.05921856,1.52600193,2009-08-23
"2009-08-24",2.34906666666667,34.6594826388889,288,288,0.20295936,2.9945793,2009-08-24
"2009-08-25",0.240733333333333,14.9777038194444,288,288,0.02079936,1.29407361,2009-08-25
"2009-08-26",0.0414,6.54876284722222,288,288,0.00357696,0.56581311,2009-08-26
"2009-08-27",0.0138,9.34442881944445,288,288,0.00119232,0.80735865,2009-08-27
"2009-08-28",0.0728333333333333,13.640365625,288,288,0.0062928,1.17852759,2009-08-28
"2009-08-29",0.943,19.578534375,288,288,0.0814752,1.69158537,2009-08-29
"2009-08-30",0.668533333333333,7.99418506944444,288,288,0.05776128,0.69069759,2009-08-30
"2009-08-31",0.923066666666667,14.0783479166667,288,288,0.07975296,1.21636926,2009-08-31
"2009-09-01",0.00153333333333333,5.567940625,288,288,0.00013248,0.48107007,2009-09-01
"2009-09-02",1.03423333333333,17.8524163194444,288,288,0.08935776,1.54244877,2009-09-02
"2009-09-03",1.87296666666667,16.6368743055556,288,288,0.16182432,1.43742594,2009-09-03
"2009-09-04",1.59773333333333,13.451621875,288,288,0.13804416,1.16222013,2009-09-04
"2009-09-05",5.014,18.9727798611111,288,288,0.4332096,1.63924818,2009-09-05
"2009-09-06",2.9463,14.2953225694444,288,288,0.25456032,1.23511587,2009-09-06
"2009-09-07",1.18296666666667,6.33259479166667,288,288,0.10220832,0.54713619,2009-09-07
"2009-09-08",7.0058,10.4430142361111,288,288,0.60530112,0.90227643,2009-09-08
"2009-09-09",12.8301666666667,12.0102326388889,288,288,1.1085264,1.0376841,2009-09-09
"2009-09-10",5.94243333333333,26.6104489583333,288,288,0.51342624,2.29914279,2009-09-10
"2009-09-11",8.3697,27.9792444444444,288,288,0.72314208,2.41740672,2009-09-11
"2009-09-12",13.0371666666667,34.2698961805556,288,288,1.1264112,2.96091903,2009-09-12
"2009-09-13",17.5221666666667,36.6550041666667,288,288,1.5139152,3.16699236,2009-09-13
"2009-09-14",13.2510666666667,30.5724545138889,288,288,1.14489216,2.64146007,2009-09-14
"2009-09-15",16.0563,48.1264298611111,288,288,1.38726432,4.15812354,2009-09-15
"2009-09-16",15.6476666666667,34.9353388888889,288,288,1.3519584,3.01841328,2009-09-16
"2009-09-17",13.4695666666667,39.5087451388889,288,288,1.16377056,3.41355558,2009-09-17
"2009-09-18",4.84686666666667,21.9442840277778,288,288,0.41876928,1.89598614,2009-09-18
"2009-09-19",8.71163333333333,42.9109722222222,288,288,0.75268512,3.707508,2009-09-19
"2009-09-20",7.48956666666667,42.6964173611111,288,288,0.64709856,3.68897046,2009-09-20
"2009-09-21",3.91996666666667,24.6334791666667,288,288,0.33868512,2.1283326,2009-09-21
"2009-09-22",5.50773333333333,20.92151875,288,288,0.47586816,1.80761922,2009-09-22
"2009-09-23",13.7601333333333,37.5479072916667,288,288,1.18887552,3.24413919,2009-09-23
"2009-09-24",9.71366666666667,29.4230534722222,288,288,0.8392608,2.54215182,2009-09-24
"2009-09-25",0.0023,1.20424965277778,288,288,0.00019872,0.10404717,2009-09-25
"2009-09-26",0.0329666666666667,4.18381979166667,288,288,0.00284832,0.36148203,2009-09-26
"2009-09-27",0,0.596881944444444,288,288,0,0.0515706,2009-09-27
"2009-09-28",0.0138,3.30059583333333,288,288,0.00119232,0.28517148,2009-09-28
"2009-09-29",0.414,8.76690520833333,288,288,0.0357696,0.75746061,2009-09-29
"2009-09-30",0.967533333333333,11.3867329861111,288,288,0.08359488,0.98381373,2009-09-30
"2009-10-01",0.877066666666667,25.3650628472222,288,288,0.07577856,2.19154143,2009-10-01
"2009-10-02",2.2494,9.94615034722222,288,288,0.19434816,0.85934739,2009-10-02
"2009-10-03",3.0636,18.2605545138889,288,288,0.26469504,1.57771191,2009-10-03
"2009-10-04",0.6509,11.7908381944444,288,288,0.05623776,1.01872842,2009-10-04
"2009-10-05",2.185,29.8134465277778,288,288,0.188784,2.57588178,2009-10-05
"2009-10-06",1.03346666666667,18.0895559027778,288,288,0.08929152,1.56293763,2009-10-06
"2009-10-07",0.230766666666667,15.4414972222222,288,288,0.01993824,1.33414536,2009-10-07
